lista_num,lista_nome,candidato_sindaco_num,candidato_sindaco_nome,candidato_num,candidato_nome,cifra_individuale,preferenze
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,10,GAGLIARDI DOMENICO,1359,270
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,22,RANA SILVIA,1335,246
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,7,FALEO FRANCESCA,1330,241
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,18,SALLUSTIO COSIMO ROBERTO,1195,106
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,15,MONGELLI ELISABETTA (detta BETTA),1194,105
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,8,FRANCESE GIOVANNI (detto GIANNI) -indipendente,1179,90
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,3,CAPUTI DOMENICO,1142,53
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,12,MESSINA DOMENICO,1137,48
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,21,PATIMO DOMENICO,1134,45
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,13,MESSINA ANNACHIARA,1133,44
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,17,LISENA VINCENZO,1129,40
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,20,MANCINI LIVIO NICOLO' MAURIZIO,1124,35
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,19,TATULLI GIULIA,1117,28
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,9,GADALETA PAOLO,1108,19
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,16,MULINELLI GIOVANNI,1105,16
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,2,CAMPOREALE GIANFRANCO,1104,15
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,5,DE LAURENTIS VINCENZO,1104,15
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,11,GIAMPIETRO OTTAVIO (detto OTTAVIO),1104,15
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,4,CASAMASSIMA LUCIANO NICOLA,1102,13
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,6,de PALMA LETIZIA,1097,8
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,1,BUSETTA CARLETTA,1096,7
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,14,MINERVINI FELICITA (detta LICIA),1094,5
1,MOLFETTA LIBERA,1,DRAGO PASQUALE,23,SPADAVECCHIA LUCIA,1090,1
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,1,LA FORGIA DARIO,1133,399
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,14,LOIACONO INNOCENTE (detta TINA),841,107
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,11,FAVUZZI DAMIANO,772,38
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,10,del VESCOVO NICOLO',764,30
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,6,de BARI CORRADO,756,22
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,13,LANZA ANA CARMELA,754,20
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,5,CAPPELLUTI ANNA,753,19
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,9,de GENNARO AGNESE,749,15
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,18,PETRUZZELLA PANTALEO,749,15
2,MOVIMENTO CINQUE STELLE,1,DRAGO PASQUALE,23,TROILO FRANCESCA,749,15
